,Speech
908,"Well, digital super intelligence will be like an alien"
909," But my question is, do you think there is other intelligent life outside the Earth? It seems probable"
910," I think this is one of the great questions in physics and philosophy, is, where are the aliens? Maybe they are among us, I don’t know"
911, Some people think I’m an alien
912,"Well, that’s a really tough one to say"
913," If there are super intelligent aliens out there, they’re probably already observing us"
914, That would seem quite likely and we’re not smart enough to realize it
915," But I can do some back of the envelope calculations and… any advanced alien civilization that is at all interested in populating the galaxy, even without exceeding the speed of light, even if you’re only moving at, say, 10 or 20 per cent of the speed of light, you could populate the entire galaxy in let’s say 10 million years"
916, Maybe 20 million years max
917, This is nothing in the grand scheme of things
918,"To be clear, I don’t want to die on Mars"
919," It’s like, if… we’re all going to die someday, and if you’re going to pick some place to die, then why not Mars? You know, if you’re born on Earth, why not die on Mars? Seems like may be quite exciting"
920," But, I think given the choice between dying on Earth and dying on Mars, I’d say, yeah, sure, I’ll die on Mars"
921, But it’s not some kind of Mars death wish
922," And if I do die on Mars, I just don’t want to go on impact"
923," I think this is going to sound a little… I mean, it seems like so much trivial or silly, but… I’ve been saying this for many years now, but I think that the solution to urban congestion is a network of tunnels under cities"
924," And when I say that I don’t mean a 2-D plan of tunnels, I mean tunnels that go many levels deep"
925," So, you can always go deeper than you can go up"
926," Like, the deepest mines are deeper than the tallest buildings"
927," So, you can have a network of tunnels that is 20, 30, 40, 50 levels, as many levels as you want, really"
928," And so, given that, you can overcome the congestion situation in any city in the world"
929," The challenge is how do you build tunnels quickly and at low cost and with high safety? So, if tunnel technology can be improved to the point where you can build tunnels fast, cheap and safe, then that would completely get rid of any traffic situations in the cities"
930," And so, that’s why I think it’s an important technology"
931," And, Washington D.C., L.A and most of the major American cities, most major cities in the world suffer from severe traffic issues"
932," And it’s mostly because you’ve got these buildings which are, these tall buildings that are 3-D and you have a road network that is one level"
933," And then, people generally want to go in and out of these buildings at the exact same time"
934," So, then, you get the traffic jam"
935,"Well, the most near to impact from a technological standpoint is autonomous cars, like fully self-driving cars"
936, I’d say that’s going to happen much faster than people realize
937," so, and that’s… it’s going to be a great convenience to be in an autonomous car, but there are many people whose job is to drive"
938," So, if… in fact I think it might be the single largest employer of people is driving in various forms"
939," And so, then we need to figure out new rules for what do these people do"
940, But it will all be very disruptive and very quick
941, I should characterize what I mean by quick
942, Because there are… Quick means different things to different people
943, There are about two billion vehicles in the world
944, Approaching in fact 2.5 billion cars and trucks in the world
945, The total new vehicle production capacity is about a hundred million
946," Which makes sense, because the life of a car or truck before it’s finally scraped is about 20-25 years"
947," So, so the point at which we see full autonomy appear will not be the point at which there is massive societal upheaval, because it will take a long time to make enough autonomous vehicles to disrupt employment"
948," So, that disruption I’m talking about will take place over about 20 years"
949," Still, 20 years is a short period of time to have I think something like 12 to 15 per cent of the world force be unemployed"
950,"Well, I think the first bit of advice is to really play close attention to… the development of artificial intelligence"
951," I think this is, we need to be just be very careful in… how we adopt artificial intelligence, and to make sure that researchers don’t get carried away, because sometimes what happens is that scientists can get so engrossed in their work, they don’t necessarily realize the ramifications of what they’re doing"
952," So, I think it’s important for public safety that we… you know, governments keep a close eye on artificial intelligence and make sure that it does not represent a danger to the public"
953," Let’s see, secondly, I would say we do need to think about transport in general"
954," And, there’s the movement towards electric vehicles, sustainable transport, I think that’s going to be good for many reasons, but again, not something that happens immediately, that’s going to happen slower than the self-driving vehicles"
955, Because that’s probably something that happens over 30 or 40 years
956, The transition to electric vehicles
957," So, thinking about that in context… the demand for electricity will increase dramatically"
958," So, currently, in terms of total energy usage in the world, it’s about 1/3, about 1/3 transport, about 1/3 heating"
959," So, over time that will transition to almost all… not all, but predominantly electricity, which means that the demand for electricity will probably triple"
960," So, it’s going to be very important to think about, how do you make so much more electricity? And"
961,"No, well, I think maybe… these things do play into each other a little bit, but what to do about mass unemployment? This is going to be a massive social challenge"
962, And I think ultimately will have to have some kind of universal basic income I don’t think we’re going to have a choice
963, I think it’s going to be necessary
964,There will be fewer and fewer jobs that a robot cannot do better
965," That’s simply… And I want to be clear, these are not things that I wish would happen"
966, These are simply things that I think probably will happen
967," And so, if my assessment is correct and they probably will happen, then we need to say what are we going to do about it"
968, And I think some kind of universal basic income is going to be necessary
969," Now, the output of goods and services will be extremely high"
970," So, with automation, there will come abundance"
971, There will be… almost everything will get very cheap
972, The… So… I think the biggest… I think we’ll just end up doing a universal basic income
973, It’s going to be necessary
974," The harder challenge, much harder challenge, is how do people then have meaning? Like a lot of people, they derive their meaning from their employment, so, if you don’t have… if you’re not needed, if there’s not a need for your labor, how do you… what’s the meaning? Do you have meaning? Do you feel useless? That’s a much harder problem to deal with"
975, And then how do we ensure that the future is going to be the future that we want? That we so like
976,"You know, I mean do think that there’s a potential path here which is, I’m really getting into science fiction or sort of advanced science stuff"
977," But, having some sort of merger with biological intelligence, and machine intelligence"
978," To some degree, we are already a cyborg"
979," You think of like the digital tools that you have, your phone and your computer, the applications that you have"
980, Like the fact that as I mentioned earlier you can ask a question and instantly get an answer from Google or from other things
981," And, and so you already have a digital touchery layer"
982," I say touchery because you can think of the limbic system, kind of the animal brain or the primal brain and then the cortex, kind of the thinking, planning part of the brain, and then your digital self as a third layer"
983," So, you already have that, and I think if somebody dies, their digital ghost is still around"
984, All of their e-mails and the pictures that they posted and their social media
985," That still lives, even if they died"
986," So, over time I think we’ll probably see a closer merger of biological intelligence and digital intelligence"
987," And it’s mostly about the bandwidth, the speed of the connection between your brain and your digital… the digital extension of yourself"
988," Particularly output, and, if anything is getting worse, you know, we used to have keyboards that we used a lot, now we do most of our input through our thumbs, on a phone"
989," And, that’s just very slow"
990," A computer can communicate at a trillion bits per second, but your thumb can maybe do maybe 10 bits per second or a hundred if you’re being generous"
991," So, some high bandwidth interface to the brain I think will be something that helps achieve symbiosis, between human and machine intelligence and maybe solves the control problem and the usefulness problem"
992," I’m getting pretty esoteric here, I don’t know is this is"
993,"Well, I… I think about what technology solution is necessary in order to achieve that particular goal, and then try to make as much progress in that direction as possible"
994," So, in the case of space flight, the critical breakthrough that’s necessary in space flight, is rapid incomplete reusability of rockets"
995, Just as we have for air crafts
996," You can imagine that if an aircraft was a single use, almost no one would fly"
997," Because you can buy like, say, 747 might be… 250 million Dollars, 300 million Dollars, something like that"
998, You need two of them for a round trip
999, But nobody is going to pay millions of Dollars for a ticket to fly
1000, To do air travel
1001," So, but because you can re-use the aircraft tens of thousands of times, the… Air travel becomes much more affordable"
1002," And, the same is true of rockets"
1003," Our rocket costs… 60 million Dollars, roughly"
1004," So, a capital cost if it can be used once in 60 million Dollars"
1005, But if the capital cost if it can be used a thousand times is 60 thousand Dollars
1006," So, then if you can carry a lot of people for a flight, then you can get the cost of space flight to be something not far from the cost of air flight"
1007," So, it’s truly fundamental, because earth gravity is quite deep"
1008, Earth has a fairly high gravity
1009, The difficulty of making a rocket reusable is much greater than the difficulty of making an aircraft reusable
1010, That’s why a fully reusable rocket hasn’t been developed that far
1011," But if you use the most advanced materials, the most advanced design techniques, and you get everything just right, then I’m confident that you can do a fully reusable rocket"
1012," Fortunately, if Earth gravity was even 10 per cent stronger, I would say it wouldn’t be impossible"
1013,"Well, I suppose honestly that it tends to be a gut feeling more than anything else"
1014," So, when I interview somebody, the main questions are always the same"
1015, What do you ask? I say: Tell me the story of your life
1016," And, the decisions that you made along the way and why you made them"
1017," And then, and also tell me about some of the most difficult problems you worked on and how you solved them"
1018," And, that question I think is very important, because… the people that really solved the problem, they know exactly how they solved it"
1019, They know the little details
1020," And the people that pretended to solve the problem, they can maybe go one level and then they get stuck"
1021,I think that probably they shouldn’t want to be
1022," Yeah, it’s not as much fun being me as you’d think"
1023, But it’s… I’m not sure I want to be me
1024," But… You know, I think my advice is if you want to make progress in things, I think that the best analytical framework for, I’ll say in the future is physics"
1025, I’d recommend studying the thinking process around physics
1026," Like, not just the equations, the equations are certainly very helpful, but the way of thinking in physics, it’s the best framework for understanding things that are counter–intuitive"
1027," And, you know, always take the position that you are to some degree wrong, and your goal is to be less wrong over time"
1028, One of the biggest mistakes people generally make and I’m guilty of it too is wishful thinking
1029," You know, like you want something to be true, even if it isn’t true"
1030," And so you ignore the things that… You ignore the real truth, because of what you want to be true"
1031, This is a very difficult trap to avoid
1032," And like I said, it’s certainly one that I find myself in, having problems with"
1033," But, if you just take that approach of that you’re always to some degree wrong and your goal is to be less wrong"
1034," And solicit critical feedback, particularly from friends"
1035," Like, friends, if somebody loves you they want the best for you"
1036, They don’t want to tell you the bad things
1037," So, you have to ask them and say: I do really want to know"
1038, And then they will tell you
